DATE,LRUN64TTUSQ156N,PRS85006092
1987-10-01,5.65888252252749,3.5
1988-01-01,6.25544353173279,1.4
1988-04-01,5.49758518062732,1.1
1988-07-01,5.45330610387242,1.2
1988-10-01,5.15030981126873,1.6
1989-01-01,5.69938517612482,-0.5
1989-04-01,5.25686257480177,1.5
1989-07-01,5.24739494503564,2.1
1989-10-01,5.15858868878428,0.1
1990-01-01,5.83588595571024,3.4
1990-04-01,5.37479671785019,3.1
1990-07-01,5.62376225311264,1.2
1990-10-01,5.8560686824167,-3.5
1991-01-01,7.27409151497558,1.0
1991-04-01,6.85962036607164,6.6
1991-07-01,6.76379360310823,2.9
1991-10-01,6.81198184911956,2.4
1992-01-01,8.15590447500742,8.0
1992-04-01,7.59232952357822,3.4
1992-07-01,7.56259324301599,3.7
1992-10-01,7.11892020265485,2.5
1993-01-01,7.8596624411866,-3.1
1993-04-01,7.10572332232831,-2.3
1993-07-01,6.78334480065896,0.8
1993-10-01,6.35333061915518,2.1
1994-01-01,7.19369870332084,1.5
1994-04-01,6.18427689152103,0.0
1994-07-01,5.9828759638508,-2.1
1994-10-01,5.31437027950808,4.8
1995-01-01,5.97105000020159,0.0
1995-04-01,5.6729567405877,2.0
1995-07-01,5.6572555648417,-0.1
1995-10-01,5.27427830355883,2.5
1996-01-01,6.08130674891048,2.1
1996-04-01,5.45559374541215,4.2
1996-07-01,5.2835153129386,1.6
1996-10-01,5.00932197831359,0.5
1997-01-01,5.74359561906643,-0.3
1997-04-01,4.96280872525062,5.3
1997-07-01,4.87666546834654,3.4
1997-10-01,4.40203365180986,1.7
1998-01-01,5.11244055553862,2.2
1998-04-01,4.39590243596605,2.5
1998-07-01,4.54827912146681,5.7
1998-10-01,4.14381121609057,3.4
1999-01-01,4.69356464768445,4.4
1999-04-01,4.21303465663356,1.2
1999-07-01,4.26138423162624,3.5
1999-10-01,3.84416390939256,6.6
2000-01-01,4.41475983936916,-1.9
2000-04-01,3.91498139267906,8.2
2000-07-01,4.04641796874953,-0.2
2000-10-01,3.70778102423355,4.1
2001-01-01,4.63593964473031,-1.6
2001-04-01,4.41378455132095,7.0
2001-07-01,4.82226486270371,2.1
2001-10-01,5.27476891288065,5.2
2002-01-01,6.25517459736237,9.4
2002-04-01,5.81840783661797,0.2
2002-07-01,5.72422283497367,3.1
2002-10-01,5.60905567662425,-0.6
2003-01-01,6.39840145825264,4.1
2003-04-01,6.13735604900561,5.4
2003-07-01,6.0991297398006,9.0
2003-10-01,5.61147929387453,4.0
2004-01-01,6.174831411149,-0.1
2004-04-01,5.565399006152,3.8
2004-07-01,5.45571512928797,1.4
2004-10-01,5.1958625293938,1.3
2005-01-01,5.70104145837273,4.5
2005-04-01,5.08959965624506,-0.4
2005-07-01,5.01976024130433,3.0
2005-10-01,4.76546386773999,0.2
2006-01-01,5.09958799568854,2.4
2006-04-01,4.66357557067369,-0.4
2006-07-01,4.70930546717057,-1.7
2006-10-01,4.28327267655924,3.0
2007-01-01,4.87372401264297,0.4
2007-04-01,4.48258959833736,2.5
2007-07-01,4.72426613226591,4.9
2007-10-01,4.61974201643074,1.7
2008-01-01,5.32548956855184,-3.8
2008-04-01,5.31950273949601,4.1
2008-07-01,6.09038051207916,1.1
2008-10-01,6.65472992929336,-2.6
2009-01-01,8.92056830210899,3.0
2009-04-01,9.24132584026928,8.0
2009-07-01,9.70859195677635,5.8
2009-10-01,9.64113861578067,4.9
2010-01-01,10.5390498660535,2.1
2010-04-01,9.64636601640398,1.4
2010-07-01,9.60765419418895,2.0
2010-10-01,9.2790399581915,1.7
2011-01-01,9.64616731273198,-3.3
2011-04-01,9.04016598448909,1.3
2011-07-01,9.16625604422209,-0.7
2011-10-01,8.41281437270444,2.8
2012-01-01,8.76151487305984,0.6
2012-04-01,8.1084093088443,2.3
2012-07-01,8.18510378798169,-0.8
2012-10-01,7.60736093761641,-1.7
2013-01-01,8.18182367066966,0.9
2013-04-01,7.50937913517972,-0.6
2013-07-01,7.4739375999274,1.6
2013-10-01,6.77575747554466,4.1
2014-01-01,7.08229161983248,-3.2
2014-04-01,6.15104900314126,2.5
2014-07-01,6.2478465222293,4.2
2014-10-01,5.54023501487309,-2.1
2015-01-01,5.91520982617072,3.0
2015-04-01,5.37715785115109,1.3
2015-07-01,5.27454501639985,1.2
2015-10-01,4.8985457561278,-2.7
2016-01-01,5.27750476564959,-1.1
2016-04-01,4.84859876272567,1.0
2016-07-01,5.0296166728706,2.4
2016-10-01,4.57818277959663,1.2
2017-01-01,4.92286898683553,0.2
2017-04-01,4.27858368006218,1.7
2017-07-01,4.46762673739261,2.6
2017-10-01,3.95007047969823,0.3
2018-01-01,4.39002998105565,0.7
