area,year,pop,15_64,in_mig,out_mig,inc,emp,jun_high,sen_high,jun_col,sen_col,lf_tot,lf_m,lf_f,unemp,prim_emp,sec_emp,ter_emp
1432,2010,"7,249","3,936",194,247,"6,797,709",***,"2,061","3,053",574,371,"3,539","1,973","1,566",125,969,546,"1,869"
1433,2010,"3,462","1,820",77,102,"3,149,785",***,946,"1,631",277,127,"1,686",976,710,121,543,287,735
1434,2010,"2,730","1,454",85,73,"2,405,198",***,713,"1,216",243,140,"1,365",771,594,73,488,159,645
1436,2010,"3,049","1,700",89,129,"2,716,528",***,907,"1,176",212,135,"1,421",801,620,48,541,128,704
1437,2010,"2,193","1,123",53,50,"1,734,566",***,693,840,254,96,"1,159",643,516,43,541,102,473
1438,2010,"3,612","1,984",107,159,"3,563,873",***,"1,055","1,453",347,207,"1,889","1,046",843,78,525,273,"1,009"
1452,2010,"7,345","4,214",258,255,"7,280,202",***,"1,659","2,971",546,449,"3,679","2,062","1,617",208,726,479,"2,247"
1453,2010,"9,292","5,618",389,307,"10,273,387",***,"1,520","3,557",909,723,"4,653","2,567","2,086",182,777,702,"2,889"
1454,2010,"7,087","3,773",170,183,"5,998,585",***,"1,876","3,028",432,343,"3,626","1,982","1,644",202,"1,048",571,"1,794"
1455,2010,"4,042","2,162",117,115,"3,282,717",***,"1,253","1,770",279,199,"2,155","1,186",969,97,671,279,"1,106"
1456,2010,"3,328","1,731",85,117,"2,958,611",***,"1,076","1,391",218,174,"1,653",919,734,68,503,266,816
1457,2010,"4,532","2,496",165,209,"3,669,394",***,"1,459","1,907",285,305,"2,331","1,339",992,144,255,225,"1,707"
1458,2010,"7,859","4,592",409,342,"7,273,171",***,"1,898","3,090",660,573,"3,965","2,250","1,715",190,817,688,"2,187"
1459,2010,"10,956","6,025",329,336,"10,172,235",***,"2,896","4,660",851,711,"5,481","3,054","2,427",279,"1,677",569,"2,815"
1460,2010,"11,545","6,970",445,650,"12,435,007",***,"3,184","4,955",719,478,"6,201","3,779","2,422",272,"1,081",651,"4,136"
1461,2010,"5,477","3,096",178,236,"5,570,626",***,"1,650","2,029",388,287,"2,872","1,570","1,302",71,"1,195",272,"1,320"
1462,2010,"2,814","1,637",149,145,"2,656,028",***,931,996,272,186,"1,436",835,601,36,320,248,832
1463,2010,"1,394",964,82,125,"1,407,774",***,326,571,142,163,887,601,286,36,76,241,534
1464,2010,"3,832","1,927",90,142,"3,084,779",***,"1,314","1,603",228,148,"2,001","1,100",901,77,743,255,921
1465,2010,"3,565","1,978",127,129,"2,985,174",***,"1,122","1,503",254,145,"1,925","1,055",870,44,780,210,890
1468,2010,"3,775","2,032",129,151,"3,411,922",***,"1,484","1,289",261,218,"1,880","1,073",807,73,437,381,987
