"","","","","","A1101","A1302","A5101","A5102","C120110","C2207","E9102","E9103","E9105","E9106","F1101","F110101","F110102","F1107","F2201","F2211","F2221"
"YEAR Code","YEAR","AREA Code","AREA","/ITEMS","A1101_Total population[person]","A1302_Population 15-64 years old[person]","A5101_In-migrants from other prefectures[person]","A5102_Out-migrants to other prefectures[person]","C120110_Taxable income[thousand yen]","C2207_Number of employees[person]","E9102_People having completed elementary or junior high school only[person]","E9103_People having completed up to senior high school[person]","E9105_People having completed up to junior college or equivalent[person]","E9106_People having completed college and universities[person]","F1101_Labour force[person]","F110101_Labour force [male][person]","F110102_Labour force [female][person]","F1107_Unemployed persons[person]","F2201_Persons employed in the primary industry[person]","F2211_Persons employed in the secondary industry[person]","F2221_Persons employed in the tertiary industry[person]"
"2010100000","2010","01220","Hokkaido Shibetsu-shi","","21,787","12,069","639","925","20,929,040","***","6,505","8,471","1,586","1,166","10,853","6,104","4,749","502","2,013","1,765","6,401"
"2010100000","2010","01221","Hokkaido Nayoro-shi","","30,591","18,597","1,392","1,651","33,889,222","***","7,435","13,147","2,469","1,912","15,468","9,176","6,292","752","1,837","1,737","11,104"
"2010100000","2010","01222","Hokkaido Mikasa-shi","","10,221","5,121","242","362","8,210,853","***","3,607","4,313","681","436","4,147","2,425","1,722","489","332","872","2,434"
"2010100000","2010","01223","Hokkaido Nemuro-shi","","29,201","17,899","877","1,207","33,792,936","***","8,706","11,956","1,723","1,510","15,957","9,014","6,943","853","2,958","3,646","8,315"
"2010100000","2010","01224","Hokkaido Chitose-shi","","93,604","63,261","5,247","5,285","115,489,955","***","13,186","36,686","9,360","7,257","47,639","29,728","17,911","2,877","1,190","8,028","32,891"
"2010100000","2010","01225","Hokkaido Takikawa-shi","","43,170","26,067","1,865","2,167","44,155,196","***","7,444","15,186","3,774","3,010","20,854","11,775","9,079","1,216","936","3,463","14,144"
"2010100000","2010","01226","Hokkaido Sunagawa-shi","","19,056","10,977","695","771","19,216,143","***","4,706","8,084","1,977","1,257","9,040","5,111","3,929","757","498","1,985","5,786"
"2010100000","2010","01227","Hokkaido Utashinai-shi","","4,387","2,242","119","212","3,248,317","***","1,725","1,702","269","140","1,741","1,008","733","198","54","418","1,071"
"2010100000","2010","01228","Hokkaido Fukagawa-shi","","23,709","13,128","756","907","22,019,111","***","6,034","9,507","2,290","1,609","11,373","6,229","5,144","588","2,066","1,376","7,278"
"2010100000","2010","01229","Hokkaido Furano-shi","","24,259","14,591","940","1,040","25,065,715","***","6,253","9,596","2,210","1,660","12,852","7,170","5,682","569","2,500","1,690","7,982"
"2010100000","2010","01230","Hokkaido Noboribetsu-shi","","51,526","30,802","2,111","2,223","55,051,161","***","11,892","22,866","4,523","3,103","23,996","14,140","9,856","2,058","268","5,643","15,957"
"2010100000","2010","01231","Hokkaido Eniwa-shi","","69,384","45,110","3,001","2,931","79,705,286","***","10,164","27,430","7,477","5,864","33,228","19,871","13,357","2,513","1,151","6,688","21,548"
"2010100000","2010","01233","Hokkaido Date-shi","","36,278","20,959","1,264","1,408","37,734,701","***","7,796","13,729","3,410","2,857","17,124","9,421","7,703","993","1,651","2,963","11,014"
"2010100000","2010","01234","Hokkaido Kitahiroshima-shi","","60,353","38,693","2,400","2,471","69,467,093","***","6,343","20,488","7,728","7,400","28,658","16,658","12,000","1,980","602","4,547","20,177"
"2010100000","2010","01235","Hokkaido Ishikari-shi","","59,449","37,624","2,309","2,249","60,066,802","***","11,014","23,970","6,594","4,931","29,397","17,362","12,035","2,879","1,400","6,315","18,044"
"2010100000","2010","01236","Hokkaido Hokuto-shi","","48,032","30,038","1,854","1,934","45,123,671","***","9,755","20,645","3,621","2,508","23,981","13,401","10,580","1,918","1,794","5,015","14,904"
"2010100000","2010","01303","Hokkaido Tobetsu-cho","","18,766","11,931","663","787","18,335,173","***","3,670","7,236","1,842","1,437","9,098","5,354","3,744","686","1,375","1,562","5,320"
"2010100000","2010","01304","Hokkaido Shinshinotsu-mura","","3,515","2,059","128","150","3,596,099","***","955","1,178","277","146","1,631","902","729","36","778","116","646"
"2010100000","2010","01331","Hokkaido Matsumae-cho","","8,748","4,633","291","383","7,430,032","***","4,407","2,600","367","302","4,126","2,347","1,779","412","465","1,264","1,982"
"2010100000","2010","01332","Hokkaido Fukushima-cho","","5,114","2,796","126","218","3,998,664","***","2,339","1,822","201","121","2,447","1,431","1,016","214","332","885","1,015"
"2010100000","2010","01333","Hokkaido Shiriuchi-cho","","5,074","2,936","180","211","4,394,985","***","1,613","2,088","271","197","2,675","1,567","1,108","185","674","705","1,098"
"2010100000","2010","01334","Hokkaido Kikonai-cho","","5,341","2,830","192","246","4,477,110","***","1,879","2,265","314","231","2,439","1,480","959","248","236","621","1,332"
"2010100000","2010","01337","Hokkaido Nanae-cho","","28,463","16,924","1,178","1,044","26,798,448","***","5,098","11,276","2,373","1,955","13,609","7,484","6,125","954","1,235","2,499","8,127"
"2010100000","2010","01343","Hokkaido Shikabe-cho","","4,767","2,911","142","188","3,988,398","***","1,683","1,832","216","231","2,286","1,357","929","225","784","448","828"
"2010100000","2010","01345","Hokkaido Mori-machi","","17,859","10,462","540","594","15,338,435","***","6,146","7,218","953","728","9,365","5,300","4,065","821","1,961","2,567","4,012"
