educ,R1 - R400,r1,R401 - R800,r2,R801 - R1 600,r3,No income,r0,R1 601 - R3 200,r4,R3 201 - R6 400,r5,R6 401 - R12 800,r6,R12 801 - R25 600,r7,R25 601 - R51 200,r8,R51 201 - R102 400,r9,R102 401 - R204 800,r10,R204 801 or more,r11,Total,first,second,third,r_len,year,sex,color,state
Complete primary,8506617,3.472046723,5198781,2.121925853,31341184,12.79216582,108176084,44.1529715,11735685,4.790017776,7891804,3.221105666,1332886,0.544028545,1325224,0.540901236,1071153,0.437200037,1071153,0.437200037,109443,0.044670074,109443,0.044670074,245002953,7,14,30,13,2001,Male,Black African,Northern Cape
Some secondary,11084534,4.273644202,94075245,36.27072869,125358127,48.33184982,254093208,97.9656849,112018069,43.18858791,21019533,8.104084965,218886,0.084391539,1071153,0.412983244,1,3.86E-07,1,3.86E-07,3199677,1.233636079,218886,0.084391539,259369603,7,14,30,13,2001,Male,Black African,Northern Cape
Grade 12/Std 10,1111149,0.106038329,990211,0.094497065,7601462,0.725416957,64676929,6.172199639,83181909,7.938152856,66199872,6.31753598,14849923,1.41714659,1325224,0.126467772,1111149,0.106038329,9748882,0.930347914,109443,0.010444281,218886,0.020888563,1047874871,7,14,30,13,2001,Male,Black African,Northern Cape
Higher,1071153,0.924633193,1071153,0.924633193,290461109,250.7298047,50977818,44.00471511,24906206,21.49936075,59243806,51.14002339,37915555,32.72919991,1071153,0.924633193,109443,0.09447262,1,8.63E-07,1,8.63E-07,1071153,0.924633193,115846263,7,14,30,13,2001,Male,Black African,Northern Cape
No schooling,56730706,7.069680064,136274763,16.98231951,198368607,24.72034433,88631451,11.04509438,30085479,3.749199086,6661911,0.830195545,1113719,0.138789688,1113719,0.138789688,1,1.25E-07,0,0,1429219,0.178106739,0,0,802450825,7,14,30,12,2001,Male,Black African,Western Cape
Some primary,28836731,1.107840834,150585376,5.785143554,479305088,18.4137983,3322875407,127.6572251,5969572,0.229337217,17952642,0.689699185,1113719,0.042786521,7211046,0.27703179,3028199,0.116336436,1219064,0.046833633,4,1.54E-07,1219064,0.046833633,2602966972,7,14,30,12,2001,Male,Black African,Western Cape
Complete primary,1505167,0.196719634,74560212,9.744737713,264421785,34.55892723,6190189,0.80903429,48357914,6.320196465,2289888,0.299279701,2227438,0.291117722,2648283,0.346120572,1219064,0.159327054,1113719,0.145558861,2219064,0.290023272,1113719,0.145558861,765133082,7,14,30,12,2001,Male,Black African,Western Cape
Some secondary,156156348,8.964520646,105248616,6.04204314,560238431,32.16179839,5277931895,302.9920336,108591039,6.233922755,3504991,0.201212212,2648283,0.152030884,2648283,0.152030884,2227438,0.127871292,2219064,0.127390563,2219064,0.127390563,14496161,0.832186051,1741937513,7,14,30,12,2001,Male,Black African,Western Cape
Grade 12/Std 10,18413086,22.99996744,90291932,112.7845433,283602783,354.251035,2284197881,2853.214115,112338268,140.3228392,213554279,266.7527574,35265332,44.05027422,20463683,25.56138839,5012291,6.260902153,1113719,1.391157394,2438128,3.045489746,2227438,2.782314788,80057009,7,14,30,12,2001,Male,Black African,Western Cape
Higher,21976109,2.436490479,3438128,0.381185138,102449521,11.35857501,321186427,35.60992855,82936441,9.195160474,14102128,1.563502465,62973611,6.981882171,7188636,0.797003836,12886056,1.428676603,4141918,0.459214312,1219064,0.135157585,1219064,0.135157585,901957516,7,14,30,12,2001,Male,Black African,Western Cape
No schooling,42818277,17.77255345,26727071,11.09358739,3434856,1.425703371,56179728,23.31848193,10225589,4.244328352,2289904,0.950468914,14180102,5.885725404,1119461,0.464653925,150014,0.06226621,0,0,1144952,0.475234457,0,0,240923608,7,14,25,12,2001,Male,Coloured,Eastern Cape
Some primary,20659468,6.605359804,176941782,56.57280887,62428574,19.96001026,663716239,212.2070407,9014664,2.882218421,4421663,1.413718642,1144952,0.36607041,2289904,0.73214082,1144952,0.36607041,2,6.39E-07,1144952,0.36607041,1144952,0.36607041,312768246,7,14,25,12,2001,Male,Coloured,Eastern Cape
Complete primary,35293615,27.81469956,21148749,16.66721019,5699269,4.491561858,1022302014,805.6704699,11368786,8.959676332,2289904,1.804660469,1144952,0.902330234,1144952,0.902330234,1144952,0.902330234,1144952,0.902330234,1144952,0.902330234,1144952,0.902330234,126888356,7,14,25,12,2001,Male,Coloured,Eastern Cape
Some secondary,107140782,25.60146461,156461341,37.38669263,234742322,56.09206072,476801283,113.9324443,253066725,60.47070671,120401043,28.77002561,21609136,5.163538293,2314994,0.553171592,2314994,0.553171592,1,2.39E-07,1144952,0.273588148,6844221,1.635437771,418494737,7,14,25,12,2001,Male,Coloured,Eastern Cape
Grade 12/Std 10,3283297,5.584195235,15094612,25.67274919,7371237,12.53691839,26043992,44.29533363,288096186,489.9908077,46820197,79.63127338,75984125,129.2329597,1144952,1.947321702,1144952,1.947321702,1144952,1.947321702,1170042,1.989994497,1144952,1.947321702,58796243,7,14,25,12,2001,Male,Coloured,Eastern Cape
Higher,3289904,4.322065948,3434856,4.512494636,9014664,11.84289034,80052058,105.1672857,8014664,10.52915415,10304568,13.53748391,78629349,103.2982214,6289904,8.263274519,2289904,3.008329757,1144952,1.504164879,1144952,1.504164879,1144952,1.504164879,76118783,7,14,25,12,2001,Male,Coloured,Eastern Cape
No schooling,1230979,2.799552319,33387342,75.93111719,2291612,5.211695478,29054224,66.07652947,4583224,10.42339096,3437418,7.817543217,103103,0.234481858,1145806,2.605847739,1145806,2.605847739,0,0,1145806,2.605847739,0,0,43970566,7,14,25,10,2001,Male,Coloured,Free State
Some primary,28627282,25.19992223,1775491,1.562922918,6443888,5.672402865,3221297,2.835631894,676006,0.595072163,1145806,1.00862604,1860664,1.637898704,1145806,1.00862604,1145806,1.00862604,1145806,1.00862604,0,0,2291612,2.01725208,113600676,7,14,25,10,2001,Male,Coloured,Free State
Complete primary,6152276,115.5318159,5298082,99.49115326,1145806,21.51676028,3721297,69.88116268,2291612,43.03352056,2291612,43.03352056,5437418,102.1077038,0,0,1145806,21.51676028,0,0,0,0,0,0,5325179,7,14,25,10,2001,Male,Coloured,Free State
Some secondary,9304552,20.34191275,27921358,61.04257661,2291612,5.009996329,80472354,175.931265,24914888,54.46973459,13318724,29.11782551,2291612,5.009996329,1145806,2.504998164,1145806,2.504998164,1145806,2.504998164,0,0,0,0,45740792,7,14,25,10,2001,Male,Coloured,Free State
