educ,R1 - R400,r1,R401 - R800,r2,R801 - R1 600,r3,No income,r0,R1 601 - R3 200,r4,R3 201 - R6 400,r5,R6 401 - R12 800,r6,R12 801 - R25 600,r7,R25 601 - R51 200,r8,R51 201 - R102 400,r9,R102 401 - R204 800,r10,R204 801 or more,r11,Total,first,second,third,r_len,year,sex,color,state
Higher,5152276,1.157406171,12165216,2.732791502,32414366,7.281556196,30360008,6.820065658,32176682,7.228162914,54591068,12.26332576,185201446,41.60361294,102670128,23.06379544,24345836,5.469043355,10481388,2.354536743,1145806,0.257393613,6874836,1.544361678,445157122,7,14,22,10,2001,Male,White,Free State
No schooling,2408028,2.047014166,1106978,0.941018812,8483736,7.21184628,3702526,3.147439802,764983827,650.2967286,17747477,15.08675847,24311739,20.66690011,17690992,15.03874176,5241868,4.456002195,1413956,1.20197438,1270552,1.080069643,2551432,2.168918903,117636118,7,14,22,7,2001,Male,White,Gauteng
Some primary,6241868,5.527776313,7815859,6.921697198,18118184,16.04539993,29986978,26.55636208,12434968,11.01236386,30548516,27.05365816,3490378,3.091066461,4811656,4.261185604,2541104,2.250392751,2110055,1.868657275,1270552,1.125196375,2408028,2.132541114,112918245,7,14,22,7,2001,Male,White,Gauteng
Complete primary,2408028,4.030287526,11041904,18.48070203,6295312,10.53638804,1302924,2.180688242,651242,1.089975909,2352902,3.938023803,2967562,4.966772858,1270552,2.126507614,3705804,6.202359622,1270552,2.126507614,1270552,2.126507614,1270552,2.126507614,59748293,7,14,22,7,2001,Male,White,Gauteng
Some secondary,279884406,11.99366744,110119881,4.718881093,215471191,9.233418344,355341662,15.22717819,504286848,21.6098097,688623801,29.5090569,36561318,1.566733551,215639523,9.240631743,1088427,0.046641511,21773626,0.933048157,9760788,0.41827141,2705804,0.115949702,2333601522,7,14,22,7,2001,Male,White,Gauteng
Grade 12/Std 10,56881236,4.172122193,97191233,7.128777935,142387332,10.44381926,429036022,31.46891373,327466156,24.01897203,1438196119,105.4887405,1626129876,119.2732968,46085933,3.380308822,88730757,6.508219344,55324209,4.05791745,2373686,0.174105008,25869936,1.897506835,1363364575,7,14,22,7,2001,Male,White,Gauteng
Higher,12164416,0.215803377,69481477,1.232639313,6745693,0.119672274,173135557,3.071519249,154659373,2.743741664,386331771,6.853736412,1048171079,18.59512686,52958948,0.939520634,843849504,14.97035063,45697935,0.810706301,52588175,0.932942918,64394524,1.142393991,5636805208,7,14,22,7,2001,Male,White,Gauteng
No schooling,2933688,6.70597309,451511,1.032086785,6868738,15.70091032,14360314,32.82553539,1338407,3.059398725,4015221,9.178196174,7655352,17.49899257,2623109,5.996035832,1,2.29E-06,3896636,8.907128556,151511,0.346331542,1,2.29E-06,43747387,7,14,22,13,2001,Male,White,KwaZulu-Natal
Some primary,3676814,47.37351649,3676814,47.37351649,4056317,52.26318228,3853517,49.65022738,5353628,68.97824702,151511,1.952127265,151511,1.952127265,1338407,17.24456176,1338407,17.24456176,151511,1.952127265,1338407,17.24456176,1948318,25.10289476,7761328,7,14,22,13,2001,Male,White,KwaZulu-Natal
Complete primary,1,7.22E-08,1107999,0.079967287,151511,0.010934959,351511,0.0253695,138480555,9.994516455,1338407,0.096596456,151511,0.010934959,151511,0.010934959,1,7.22E-08,151511,0.010934959,251511,0.01815223,0,0,1385565331,7,14,22,13,2001,Male,White,KwaZulu-Natal
Some secondary,19970019,2.417467593,16420504,1.987781598,50438935,6.105877554,3170691214,383.8275395,182270918,22.06477807,221609528,26.82690748,100443596,12.15918414,24132422,2.921346651,151511,0.018341141,12995475,1.573165237,512322,0.062019061,1338407,0.162020654,826071839,7,14,22,13,2001,Male,White,KwaZulu-Natal
Grade 12/Std 10,13198659,10.94315167,1260577,1.045158096,79955745,66.29217746,8909733,7.387156497,149282956,123.7721218,265958712,220.5092596,2,1.66E-06,201245309,166.8546736,1160577,0.962247009,8030442,6.658126769,10707256,8.877502359,8030442,6.658126769,120611131,7,14,22,13,2001,Male,White,KwaZulu-Natal
Higher,7912107,0.580181535,8683549,0.636750083,2436283,0.178648546,125006345,9.166505605,88381092,6.480837234,16619552,1.218683872,129275777,9.479575893,66275068,4.859839573,89918966,6.593606955,22468045,1.647544054,454533,0.033330143,757555,0.055550238,1363729543,7,14,22,13,2001,Male,White,KwaZulu-Natal
No schooling,1090301,6.312292436,1377517,7.975128097,1377517,7.975128097,3788925,21.9359632,4997598,28.93356977,1377517,7.975128097,1377517,7.975128097,3501709,20.27312754,2411408,13.96083511,1807228,10.46293788,0,0,1377517,7.975128097,17272663,7,14,22,7,2001,Male,White,Limpopo
Some primary,1377517,57.12500746,2755034,114.2500149,4822816,200,1,4.15E-05,2755034,114.2500149,2180602,90.42857949,2411408,100,1377517,57.12500746,0,0,2411408,100,1377517,57.12500746,0,0,2411408,7,14,22,7,2001,Male,White,Limpopo
Complete primary,1090301,4.998519426,1,4.58E-06,1377517,6.315270263,4822816,22.11035252,1,4.58E-06,1377517,6.315270263,2467818,11.31378969,1,4.58E-06,1377517,6.315270263,0,0,0,0,0,0,21812479,7,14,22,7,2001,Male,White,Limpopo
Some secondary,1377517,0.629602135,10224776,4.673293177,9443893,4.316386073,24195548,11.05871555,52746071,24.10789769,79605991,36.38437992,4822816,2.204296027,8265102,3.777612809,1377517,0.629602135,1377517,0.629602135,2755034,1.25920427,1377517,0.629602135,218791666,7,14,22,7,2001,Male,White,Limpopo
Grade 12/Std 10,5132551,4.543373462,13861255,12.27008911,9728704,8.611923306,33057408,29.26267079,47654633,42.18424618,101671811,90.00066594,9955367,8.81256713,17186578,15.2136905,2755034,2.438777201,3788925,3.353985435,1377517,1.219388601,1377517,1.219388601,112967843,7,14,22,7,2001,Male,White,Limpopo
Higher,1377517,0.655064476,3788925,1.801785509,7543959,3.587454491,7409006,3.523278938,1059202452,503.6931661,39777812,18.91594192,80181821,38.12966559,37238203,17.70825618,7543959,3.587454491,5562262,2.64507824,2755034,1.310128952,1,4.76E-07,210287239,7,14,22,7,2001,Male,White,Limpopo
No schooling,1807228,7.706697004,616481,2.628905858,1178791,5.026806285,3357582,14.31798707,5343601,22.78711586,2178791,9.291180787,1001977,4.272805171,2357582,10.05361257,947024,4.038464999,1,4.26E-06,1,4.26E-06,1178791,5.026806285,23450098,7,14,22,10,2001,Male,White,Mpumalanga
Some primary,1137354,15.90520484,1807228,25.27298583,5739987,80.27023161,1178791,16.48467611,77376273,1082.060178,1178791,16.48467611,2986019,41.75766194,1178791,16.48467611,1807228,25.27298583,1178791,16.48467611,0,0,0,0,7150829,7,14,22,10,2001,Male,White,Mpumalanga
Complete primary,1178791,16.16858637,2161944,29.65375396,1178791,16.16858637,1178791,16.16858637,1178791,16.16858637,2357582,32.33717274,2357582,32.33717274,1,1.37E-05,1178791,16.16858637,0,0,0,0,0,0,7290625,7,14,22,10,2001,Male,White,Mpumalanga
Some secondary,2178791,0.91214171,26542126,11.11174969,24805238,10.38460881,44911229,18.80189758,40815961,17.08743082,83378056,34.90587331,35031255,14.66568792,22165262,9.279393936,1807228,0.75658842,947024,0.396467624,1178791,0.493495906,1178791,0.493495906,238865406,7,14,22,10,2001,Male,White,Mpumalanga
Grade 12/Std 10,2986019,0.386394802,16963939,2.195156107,20016822,2.590203199,20963846,2.712749355,105144432,13.60582834,10467447,1.354501464,6502679,0.841455249,22374404,2.895277423,2357582,0.305074224,2357582,0.305074224,1178791,0.152537112,1178791,0.152537112,772789641,7,14,22,10,2001,Male,White,Mpumalanga
Higher,2,1.50E-06,4357582,3.270269048,1,7.50E-07,20156618,15.12709662,30121601,22.60559628,40017274,30.0320803,72347253,54.29501549,13058765,9.800314713,5893955,4.423283052,12058765,9.049836799,4536373,3.404447745,1178791,0.88465661,133248425,7,14,22,10,2001,Male,White,Mpumalanga
No schooling,3107212,26.3373248,1553606,13.1686624,1553606,13.1686624,10107212,85.67066723,2553606,21.64485418,6381078,54.08724086,1553606,13.1686624,1553606,13.1686624,1553606,13.1686624,3107212,26.3373248,1553606,13.1686624,1553606,13.1686624,11797751,7,14,22,10,2001,Male,White,North West
Some primary,2553606,12.99990144,1,5.09E-06,1553606,7.909099869,4660818,23.72729961,5660818,28.81810118,1553606,7.909099869,1553606,7.909099869,1553606,7.909099869,1553606,7.909099869,1553606,7.909099869,0,0,1,5.09E-06,19643272,7,14,22,10,2001,Male,White,North West
Complete primary,1553606,21.53471989,1553606,21.53471989,1,1.39E-05,38732938,536.8819188,3107212,43.06943978,1553606,21.53471989,1553606,21.53471989,1553606,21.53471989,1136933,15.75916525,0,0,1553606,21.53471989,0,0,7214424,7,14,22,10,2001,Male,White,North West
Some secondary,15428848,5.642740413,16119387,5.895288907,87341118,31.94297178,73941991,27.04255437,75156415,27.48670155,69388385,25.37717944,95383014,34.88410721,9321636,3.409170417,3107212,1.136390139,1553606,0.56819507,1553606,0.56819507,1553606,0.56819507,273428279,7,14,22,10,2001,Male,White,North West
Grade 12/Std 10,7214424,0.808592022,18089666,2.027488211,38869871,4.356531802,161806994,18.13531398,187492162,21.01410541,81263627,9.108020331,1553606,0.174128027,55513143,6.221908297,11458569,1.284275429,9904963,1.110147402,1,1.12E-07,3107212,0.348256054,892220527,7,14,22,10,2001,Male,White,North West
Higher,3107212,0.661757511,9214424,1.962439089,7214424,1.536489711,20917138,4.454820969,25857696,5.507034774,97246081,20.7109539,53268998,11.3449483,75251452,16.02665462,15012175,3.197213308,2690539,0.573016708,1553606,0.330878755,109954166,23.41745435,469539363,7,14,22,10,2001,Male,White,North West
No schooling,1576538,62.27132183,1265862,50,1,3.95E-05,6265862,247.4938816,1265862,50,1265862,50,1576538,62.27132183,1265862,50,1332886,52.64736598,2576538,101.7700982,1576538,62.27132183,0,0,2531724,7,14,22,13,2001,Male,White,Northern Cape
Some primary,1332886,2344.648888,1265862,2226.748522,1111149,1954.596468,13548721,23833.24127,1265862,2226.748522,1,0.001759077,1265862,2226.748522,4797586,8439.322404,1265862,2226.748522,0,0,0,0,0,0,56848,7,14,22,13,2001,Male,White,Northern Cape
Complete primary,1576538,5546.502955,2531724,8906.99409,2531724,8906.99409,1265862,4453.497045,1265862,4453.497045,1111149,3909.192936,1111149,3909.192936,1265862,4453.497045,0,0,0,0,0,0,0,0,28424,7,14,22,13,2001,Male,White,Northern Cape
Some secondary,4153076,32.28749321,18811696,146.2488303,12969296,100.8279301,27559944,214.2608286,30315603,235.6843039,44351595,344.8051089,36376164,282.8012654,7905848,61.46288044,2531724,19.68252482,1265862,9.841262412,28424,0.220978308,1576538,12.25656838,12862801,7,14,22,13,2001,Male,White,Northern Cape
Grade 12/Std 10,5108262,1.349921021,6063448,1.602340662,22676867,5.992640834,28447158,7.517511156,42019037,11.104047,96517573,25.505955,104754116,27.68256272,7795949,2.060175346,5995476,1.584378226,5374124,1.420178322,1111149,0.293634781,2531724,0.669039185,378411916,7,14,22,13,2001,Male,White,Northern Cape
Higher,1265862,1.093197887,1,8.64E-07,10748248,9.282182423,5063448,4.372791549,1869891,1.614837076,5063448,4.372791549,92854042,80.18871136,16788538,14.49857431,1970016,1.701304984,2531724,2.186395775,1265862,1.093197887,1576538,1.361497549,115794406,7,14,22,13,2001,Male,White,Northern Cape
No schooling,247076,1.513147133,5014233,30.70825288,1113719,6.820657255,6014233,36.83247026,2576105,15.77662701,3227438,19.76553189,2576105,15.77662701,1,6.12E-06,1219064,7.465812934,1219064,7.465812934,2,1.22E-05,1357041,8.310814076,16328617,7,14,22,12,2001,Male,White,Western Cape
Some primary,4454876,9.765008128,5657192,12.40046319,2438128,5.344332758,6969572,15.27717657,4888485,10.71547126,2,4.38E-06,2227438,4.882504064,1113719,2.441252032,1219064,2.672166379,1113719,2.441252032,1357041,2.974609483,1357041,2.974609483,45620812,7,14,22,12,2001,Male,White,Western Cape
Complete primary,1219064,6.04198588,8925636,44.23768291,3657192,18.12595764,2219064,10.99823582,431238,2.137323313,1093316,5.418747362,1219064,6.04198588,3364008,16.67286446,1219064,6.04198588,1357041,6.725834378,0,0,0,0,20176545,7,14,22,12,2001,Male,White,Western Cape
Some secondary,15628768,1.454229664,42301551,3.936085705,216145973,20.11200664,38711631,3.602049896,233364378,21.71414926,297388554,27.67148742,220446969,20.51220683,44860476,4.174189223,18617864,1.732359845,11845828,1.102233681,1113719,0.103629615,3450357,0.321049714,1074711126,7,14,22,12,2001,Male,White,Western Cape
Grade 12/Std 10,140981736,5.284027324,156676341,5.872264667,478473879,17.93330911,2575810218,96.54194905,708752596,26.56420746,344694364,12.91922266,72742821,2.72641737,341642138,12.80482454,68584874,2.570576576,33609567,1.259694166,14640997,0.548747876,9153074,0.343059282,2668073561,7,14,22,12,2001,Male,White,Western Cape
Higher,27643001,1.332139268,19933223,0.960598637,65286044,3.146188898,508845277,24.52167819,138136686,6.656922082,334753704,16.13206013,46083161,2.220785954,507872234,24.47478644,1219064,0.058747711,7206101,0.347268016,13380512,0.64481803,7168958,0.345478064,2075083414,7,14,22,12,2001,Male,White,Western Cape
No schooling,1129514143,186.8989601,245481007,40.61936296,13839032,2.289923243,4099824167,678.3915706,63539673,10.51381152,43269284,7.159701572,1170042,0.193605042,1119461,0.185235482,1,1.65E-07,1170042,0.193605042,4510126,0.746283581,1119461,0.185235482,604344798,7,16,32,12,2001,Female,Black African,Eastern Cape
Some primary,423195888,8.646504182,3325333344,67.9413706,5054830628,103.277502,311755982,6.369625695,77593721,1.585351966,434519,0.008877852,2314994,0.047298676,1285781,0.026270366,2285781,0.046701812,2156849,0.044067545,2340084,0.047811301,1144952,0.023393026,4894416045,7,16,32,12,2001,Female,Black African,Eastern Cape
Complete primary,3025516,0.257473533,202181476,17.2057854,5171808,0.440124488,1044279507,88.86891839,11322065,0.963515672,2264413,0.192703134,1170042,0.099571395,1144952,0.097436218,1119461,0.095266916,1144952,0.097436218,1144952,0.097436218,1144952,0.097436218,1175078448,7,16,32,12,2001,Female,Black African,Eastern Cape
Some secondary,1046809337,28.94463205,91240786,2.522838577,330737707,9.145009406,8204090983,226.8458891,76923682,2.126965812,94855899,2.622797674,35685156,0.986706627,2264413,0.062611785,2643746,0.073100471,2571562,0.071104559,2238922,0.06190695,1144952,0.03165831,3616592311,7,16,32,12,2001,Female,Black African,Eastern Cape
Grade 12/Std 10,1596103,0.672287339,655763704,276.2112695,2445619,1.030108139,1145909758,482.6634762,201352005,84.81056907,208620915,87.87227383,30807617,12.97633728,3575685,1.506098137,3600775,1.516666183,1119461,0.471523114,4575685,1.927303623,3276711,1.380168648,237413812,7,16,32,12,2001,Female,Black African,Eastern Cape
Higher,23182916,0.027608896,64595487,0.076927771,102455483,0.12201583,11068455,0.013181595,504537849,0.600861981,640076349,0.762276891,9519272,0.011336649,18091405,0.021545336,572476,0.000681771,8014664,0.009544788,3409365,0.004060266,1119461,0.001333184,83969008657,7,16,32,12,2001,Female,Black African,Eastern Cape
No schooling,218317194,19.8990554,1937574886,176.605009,6377225,0.581267793,1149086332,104.7362884,25212372,2.298043402,2156952,0.196600673,1078476,0.098300337,2156952,0.196600673,1078476,0.098300337,1078476,0.098300337,1078476,0.098300337,1078476,0.098300337,1097123404,7,16,32,10,2001,Female,Black African,Free State
Some primary,1088734354,21.21259831,374380538,7.29432661,149129064,2.905589339,1130750775,22.03123461,1078476,0.021012727,2156952,0.042025455,2156952,0.042025455,103103,0.00200883,1078476,0.021012727,1078476,0.021012727,1078476,0.021012727,1,1.95E-08,5132489372,7,16,32,10,2001,Female,Black African,Free State
Complete primary,365105316,28.76770265,230460508,18.15864923,52549036,4.140490362,664754958,52.37796364,1078476,0.08497624,4313904,0.339904959,293914,0.023158333,1078476,0.08497624,1860664,0.146607092,1078476,0.08497624,1078476,0.08497624,0,0,1269150062,7,16,32,10,2001,Female,Black African,Free State
Some secondary,919684684,10.18183168,585121304,6.477879574,226905344,2.512069691,1137989318,12.59868289,159130006,1.761728736,44921228,0.497323039,7549332,0.083578675,2156952,0.023879622,1078476,0.011939811,1078476,0.011939811,3235428,0.035819432,1078476,0.011939811,9032605458,7,16,32,10,2001,Female,Black African,Free State
Grade 12/Std 10,382290028,13.80216199,80371858,2.901737744,18286646,0.660219289,823977662,29.74880936,18911882,0.682792748,16347374,0.590204001,31071406,1.12179902,2156952,0.077874385,1078476,0.038937193,1078476,0.038937193,2156952,0.077874385,103103,0.003722421,2769783664,7,16,32,10,2001,Female,Black African,Free State
Higher,12349136,15.76073414,18037804,23.02096546,5344934,6.821536647,702249498,896.2544133,74243106,94.75366176,47921228,61.16004669,104889472,133.8664569,6470856,8.258508214,1078476,1.376418036,2156952,2.752836071,1078476,1.376418036,1078476,1.376418036,78353812,7,16,32,10,2001,Female,Black African,Free State
No schooling,313923215,9.990869387,214508368,6.826908571,653130271,20.7864182,2749718315,87.51208965,254608379,8.103125025,38702627,1.231743537,21531432,0.685255867,67669,0.002153623,1157356,0.036833825,1157356,0.036833825,3500774,0.111415066,1254398,0.039922268,3142101081,7,16,32,7,2001,Female,Black African,Gauteng
Some primary,920363631,9.173621089,1487220573,14.82370397,15848279,0.15796594,5049532174,50.33064463,254700167,2.538695299,36681475,0.365618481,20616311,0.205490764,2227517,0.022202525,2508796,0.025006142,1145865,0.011421281,722478,0.007201218,1145865,0.011421281,10032719055,7,16,32,7,2001,Female,Black African,Gauteng
Complete primary,14578277,0.008112207,429548842,0.23902612,74846088,0.041648745,2378860521,1.323737245,34568963,0.019236195,2283341,0.001270585,8171653,0.004547186,3460577,0.001925668,1145865,0.000637626,1,5.56E-10,1145865,0.000637626,1145865,0.000637626,1.80E+11,7,16,32,7,2001,Female,Black African,Gauteng
Some secondary,137129228,7.177796363,936084501,48.99775216,314498952,16.46191309,3577264983,187.2458553,1212859341,63.48506073,1896507,0.099269435,28760085,1.505397766,5810977,0.304165714,14701778,0.769539581,329173,0.017230001,14043984,0.735108472,4699228,0.245973102,1910464174,7,16,32,7,2001,Female,Black African,Gauteng
Grade 12/Std 10,4224073,0.03637377,2262401892,19.48169129,1407738591,12.12212947,5689229024,48.9903248,507903415,4.373589666,634195602,5.461099983,18912153,0.162853792,33203346,0.285916193,13202385,0.113686604,6943704,0.059792691,10309129,0.088772587,2508796,0.021603407,11612964493,7,16,32,7,2001,Female,Black African,Gauteng
Higher,6716962,0.737371788,55471421,6.089517984,258067493,28.33002312,189246332,20.77500308,67034889,7.35892744,50074428,5.497049189,606595567,66.59058931,12391938,1.360356882,19561572,2.147421904,12428457,1.364365849,6058026,0.665035393,1145865,0.125790279,910932871,7,16,32,7,2001,Female,Black African,Gauteng
No schooling,1525992407,12.06007314,1513718715,11.9630729,333211655,2.633405587,1581397176,12.49794266,164090735,1.296825762,26587635,0.210124783,7637656,0.060361172,3851912,0.030442052,5329743,0.042121501,52773,0.00041707,3945155,0.031178961,2526584,0.01996785,12653259971,7,16,32,13,2001,Female,Black African,KwaZulu-Natal
Some primary,1361598925,20.20155104,130168709,1.93126608,341760132,5.070571534,7799703357,115.7213792,117268005,1.739862998,3272193,0.048548345,3817915,0.056645025,1,1.48E-08,241021,0.003575941,1107999,0.016438981,1220072,0.018101767,241021,0.003575941,6740071207,7,16,32,13,2001,Female,Black African,KwaZulu-Natal
Complete primary,102427606,9.313250955,401256635,36.48434133,102728173,9.340580071,2814253362,255.8865606,34248953,3.114093033,9787846,0.889961893,518774,0.047169632,2584495,0.234995735,1107999,0.100745035,3889636,0.353665946,3599244,0.327261994,1220072,0.110935295,1099805068,7,16,32,13,2001,Female,Black African,KwaZulu-Natal
Some secondary,1530416276,606.2071426,1289995009,510.9748247,1352611056,535.7774196,9314977865,3689.719068,342267999,135.5744244,105938021,41.96269081,1954724,0.774277998,7025405,2.782805409,6437749,2.550031313,8902566,3.526360234,7467897,2.958079166,1263292,0.500397601,252457645,7,16,32,13,2001,Female,Black African,KwaZulu-Natal
Grade 12/Std 10,465320122,6.180883842,606858323,8.060946917,1171229863,15.55753855,1022320357,13.57956185,101909347,1.353669885,262833368,3.491236335,67582533,0.89770411,8170762,0.108532875,10745927,0.142738995,1321203,0.017549644,2739781,0.036392727,2584495,0.034330051,7528375131,7,16,32,13,2001,Female,Black African,KwaZulu-Natal
Higher,11980373,0.354624719,66650054,1.972873186,383884187,11.36315387,185137099,5.480145873,124291538,3.679088431,1166719984,34.53546448,31829377,0.942164644,3380276,0.100057772,7642406,0.22621884,3963609,0.117324705,2642406,0.07821647,1263292,0.037394042,3378324287,7,16,32,13,2001,Female,Black African,KwaZulu-Natal
No schooling,1984785475,16.92358673,63359534,0.54024507,277172288,2.363353276,6537161082,55.74013611,97523637,0.831550689,78589168,0.670102949,1114189,0.009500308,5509133,0.046974492,3335616,0.028441656,1164698,0.009930981,67841439,0.578460741,2411408,0.020561251,11727924506,7,16,32,7,2001,Female,Black African,Limpopo
Some primary,83586887,1.810155715,592689873,12.83527835,98625261,2.135826399,2472251023,53.53901168,95351587,2.06493179,12368029,0.267841753,2411408,0.052221397,1111872,0.024078675,1111872,0.024078675,2329396,0.050445347,1111872,0.024078675,1111872,0.024078675,4617662795,7,16,32,7,2001,Female,Black African,Limpopo
Complete primary,280089192,28.67186273,119375798,12.22013055,29959671,3.06687869,500411801,51.22560554,3419697,0.350063786,5537789,0.566886301,2209712,0.226201371,1111872,0.113818891,1111872,0.113818891,1114189,0.114056076,2262538,0.231609005,1111872,0.113818891,976878254,7,16,32,7,2001,Female,Black African,Limpopo
Some secondary,229167529,4.599244983,421476149,8.458755357,228481457,4.585475959,2043934224,41.0204459,9898625,0.19865904,45546571,0.9140904,27697582,0.555872665,6854472,0.137564847,2173517,0.043621089,2302052,0.046200704,4591934,0.092157163,3494094,0.07012422,4982720639,7,16,32,7,2001,Female,Black African,Limpopo
Grade 12/Std 10,436315577,406.310857,48018995,44.716806,249058632,231.9312707,59651376,55.54924688,61563822,57.33017704,4537834694,4225.775105,29535364,27.50426455,4405392,4.102440282,7746088,7.213401995,109784,0.102234331,2111872,1.966641961,1061645,0.988637382,107384671,7,16,32,7,2001,Female,Black African,Limpopo
Higher,61113914,2.235279671,20837766,0.762154339,3828739045,140.0385279,129238117,4.726965052,480801189,17.58560454,2180602,0.079756884,316281349,11.56818838,7572953,0.276985498,6601072,0.241438342,1061645,0.038830331,1111872,0.040667415,1111872,0.040667415,2734061191,7,16,32,7,2001,Female,Black African,Limpopo
No schooling,911030651,214.2273796,853694755,200.7449367,330963495,77.82552891,2613885085,614.6508371,94399613,22.19791585,33209268,7.809105494,11325074,2.663072778,2177776,0.512100493,3296529,0.775173446,1088888,0.256050247,2302052,0.541323793,1807228,0.424966732,425263406,7,16,32,10,2001,Female,Black African,Mpumalanga
Some primary,183514074,6.99577117,31960443,1.218369474,105310014,4.014540922,269864734,10.28755934,1123598,0.04283287,2035912,0.077611347,1098843,0.041889181,1137354,0.043357265,1807228,0.068893645,1088888,0.041509684,1044622,0.039822213,1098843,0.041889181,2623214361,7,16,32,10,2001,Female,Black African,Mpumalanga
Complete primary,216925083,16.53827147,76262107,5.814188986,83303078,6.350989471,5571989,0.424805953,22486762,1.714380694,3363596,0.256439057,1137354,0.086711361,3266664,0.249049005,1088888,0.083016335,1088888,0.083016335,2251543,0.171656633,0,0,1311655111,7,16,32,10,2001,Female,Black African,Mpumalanga
Some secondary,173963334,7.847261739,112722816,5.084780918,27460274,1.238697561,292962994,13.215183,181116738,8.169942572,14407592,0.649907902,7670682,0.346014577,1088888,0.049118334,3173266,0.143141939,1137354,0.051304573,1,4.51E-08,10902724,0.491807825,2216866721,7,16,32,10,2001,Female,Black African,Mpumalanga
Grade 12/Std 10,118917367,14.63575715,509483139,62.70464679,81711637,10.05666124,46918216,5.774460305,58493061,7.199034568,98553446,12.1294672,26165376,3.220304137,79095873,9.734726037,1088888,0.134014911,2251543,0.277108697,1088888,0.134014911,1123598,0.138286845,812512573,7,16,32,10,2001,Female,Black African,Mpumalanga
Higher,19786009,1.090339068,19499892,1.074572142,22561952,1.243311763,924060207,50.92178747,28492817,1.570141383,361210056,19.90504684,44135038,2.432130513,8734088,0.481305622,4378536,0.241286096,4355552,0.240019526,1123598,0.061917631,15397874,0.848524005,1814665692,7,16,32,10,2001,Female,Black African,Mpumalanga
No schooling,654298903,20.29801149,21525555,0.667777312,117884129,3.657064674,1440179464,44.67801974,39865888,1.236740959,1138875,0.035330791,4371456,0.135613653,1,3.10E-08,3392034,0.105229498,1102986,0.034217423,1102986,0.034217423,1102986,0.034217423,3223463064,7,16,32,10,2001,Female,Black African,North West
Some primary,461538972,12.19707451,78973903,2.087040613,204931707,5.415723158,2798103718,73.94539052,3351931,0.088581365,2205972,0.058297146,3308958,0.087445719,2231204,0.058963951,1128218,0.029815378,258537,0.006832348,1102986,0.029148573,1128218,0.029815378,3784013714,7,16,32,10,2001,Female,Black African,North West
Complete primary,177951081,39.35086643,171949439,38.02370499,86221274,19.06637385,1146053374,253.4302854,8823888,1.951253323,2256436,0.498972589,1102986,0.243906665,1102986,0.243906665,1102986,0.243906665,1128218,0.249486295,2256436,0.498972589,0,0,452216424,7,16,32,10,2001,Female,Black African,North West
Some secondary,71141448,0.704617798,668211087,6.618271595,181630472,1.798952183,365624475,3.62131387,218309052,2.1622338,14338818,0.142018284,9025744,0.089395142,1457152,0.014432307,2275808,0.022540655,1102986,0.010924483,2256436,0.022348786,1128218,0.011174393,10096459135,7,16,32,10,2001,Female,Black African,North West
Grade 12/Std 10,1102986,0.021375197,108429109,2.101290121,66974456,1.297924183,83245162,1.61324056,399166792,7.735609417,25265692,0.489633729,2256758,0.043734596,3416625,0.066212112,1102986,0.021375197,1102986,0.021375197,5694375,0.110353521,227775,0.004414141,5160120819,7,16,32,10,2001,Female,Black African,North West
Higher,2205972,0.006284381,11109298,0.031648208,9178054,0.026146473,811148537,2.310802845,120510601,0.34331103,414672725,1.181321138,113476219,0.323271457,551493,0.001571095,1128218,0.003214071,2256436,0.006428143,227775,0.000648886,1128218,0.003214071,35102455354,7,16,32,10,2001,Female,Black African,North West
No schooling,13833555,2.571514938,114017338,21.19464504,4414058,0.820527774,400205807,74.39412437,1332886,0.247769735,1128218,0.209724069,109443,0.020344323,109443,0.020344323,109443,0.020344323,1071153,0.199116275,109443,0.020344323,1138875,0.211705095,537953515,7,16,32,13,2001,Female,Black African,Northern Cape
Some primary,19765318,2.610905726,395115913,52.19295737,12147028,1.604565379,288350055,38.0896887,4316445,0.570182122,109443,0.014456907,1071153,0.141494283,109443,0.014456907,1128218,0.149032302,1,1.32E-07,109443,0.014456907,2165583,0.286063349,757029172,7,16,32,13,2001,Female,Black African,Northern Cape
Complete primary,41568946,38.8788394,44055843,41.20479852,4284612,4.007336194,828463376,774.8499215,6744394,6.307935043,1332886,1.246629172,1332886,1.246629172,1066559,0.997537346,1128218,1.055206125,1066559,0.997537346,3333958,3.118203133,0,0,106919205,7,16,32,13,2001,Female,Black African,Northern Cape
Some secondary,45514338,4.418867021,63857664,6.199772157,59241682,5.75161864,117030917,11.36222303,759357,0.073723968,9704043,0.942139938,2174139,0.211081421,1066559,0.1035494,5,4.85E-07,1111149,0.107878525,2233305,0.216825692,109443,0.010625532,1030000174,7,16,32,13,2001,Female,Black African,Northern Cape
Grade 12/Std 10,20012706,22.9615257,38496732,44.16912442,67415021,77.3484474,445027623,510.6012752,26321799,30.200247,3213459,3.686953749,5444663,6.246919803,109443,0.125569139,1071153,1.228984583,109443,0.125569139,109443,0.125569139,3316728,3.805439165,87157562,7,16,32,13,2001,Female,Black African,Northern Cape
Higher,109443,0.061111298,2256436,1.259959357,2314973,1.292645522,3289368,1.83673279,4348278,2.428011941,16305473,9.104726777,9934165,5.547085821,1071153,0.598115455,109443,0.061111298,109443,0.061111298,109443,0.061111298,1071153,0.598115455,179087999,7,16,32,13,2001,Female,Black African,Northern Cape
